,Archivo,Original,Falso nulo,Calculada,Valor O,Valor C
157,14089-TEUCHITLAN.txt,"['29/05/2013', '0', '8.3', '38', '14.5']","['29/05/2013', '0', '8.3', 'Nulo', '14.5']","['29/05/2013', '0.0', '8.3', '35.4', '14.5']",38,35.4
158,14089-TEUCHITLAN.txt,"['13/06/2009', '0', '10.8', '39', '18.5']","['13/06/2009', 'Nulo', '10.8', '39', '18.5']","['13/06/2009', '0.0', '10.8', '39.0', '18.5']",0,0.0
159,14090-TOTOTLAN.txt,"['12/02/2012', '13.5', '2.1', '21.5', '9.5']","['12/02/2012', '13.5', '2.1', 'Nulo', '9.5']","['12/02/2012', '13.5', '2.1', '19.0', '9.5']",21.5,19.0
160,14090-TOTOTLAN.txt,"['27/12/2017', '0', '5.4', '30', '7']","['27/12/2017', '0', '5.4', 'Nulo', '7']","['27/12/2017', '0.0', '5.4', '27.7', '7.0']",30,27.7
161,14090-TOTOTLAN.txt,"['30/12/2013', '3', '2', '17', '8']","['30/12/2013', '3', '2', '17', 'Nulo']","['30/12/2013', '3.0', '2.0', '17.0', '10.1']",8,10.1
162,14093-MAGDALENA.txt,"['06/02/2010', '0', '0.7', '26', '3']","['06/02/2010', '0', '0.7', 'Nulo', '3']","['06/02/2010', '0.0', '0.7', '27.5', '3.0']",26,27.5
163,14093-MAGDALENA.txt,"['02/11/2008', '0', '5.3', '27', '9']","['02/11/2008', '0', 'Nulo', '27', '9']","['02/11/2008', '0.0', '4.7', '27.0', '9.0']",5.3,4.7
164,14093-MAGDALENA.txt,"['26/07/2011', '0', '12.1', '30', '17']","['26/07/2011', 'Nulo', '12.1', '30', '17']","['26/07/2011', '0.0', '12.1', '30.0', '17.0']",0,0.0
165,14096-MASCOTA.txt,"['17/11/2010', '0', '3.4', '28', '5.5']","['17/11/2010', 'Nulo', '3.4', '28', '5.5']","['17/11/2010', '0.0', '3.4', '28.0', '5.5']",0,0.0
166,14096-MASCOTA.txt,"['19/05/2012', '0', '8.7', '31.5', '12']","['19/05/2012', '0', '8.7', '31.5', 'Nulo']","['19/05/2012', '0.0', '8.7', '31.5', '11.4']",12,11.4
167,14096-MASCOTA.txt,"['02/05/2011', '0', '9.4', '33.5', '11']","['02/05/2011', '0', '9.4', 'Nulo', '11']","['02/05/2011', '0.0', '9.4', '36.7', '11.0']",33.5,36.7
168,14099-MAZAMITLA.txt,"['19/10/2015', '0', '4.7', '18', '13']","['19/10/2015', '0', '4.7', 'Nulo', '13']","['19/10/2015', '0.0', '4.7', '25.3', '13.0']",18,25.3
169,14099-MAZAMITLA.txt,"['14/03/2008', '0', 'Nulo', 'Nulo', 'Nulo']","['14/03/2008', 'Nulo', 'Nulo', 'Nulo', 'Nulo']","['14/03/2008', '0.0', '6.0', '30.9', '5.7']",0,0.0
170,14099-MAZAMITLA.txt,"['21/08/2015', '12', '3.2', '19', '15']","['21/08/2015', '12', '3.2', '19', 'Nulo']","['21/08/2015', '12.0', '3.2', '19.0', '12.3']",15,12.3
171,14100-MEXTICACAN.txt,"['08/10/2009', '0.5', 'Nulo', 'Nulo', 'Nulo']","['08/10/2009', 'Nulo', 'Nulo', 'Nulo', 'Nulo']","['08/10/2009', '8.4', '2.9', '26.5', '11.4']",0.5,8.4
172,14100-MEXTICACAN.txt,"['13/01/2015', '0', 'Nulo', 'Nulo', 'Nulo']","['13/01/2015', 'Nulo', 'Nulo', 'Nulo', 'Nulo']","['13/01/2015', '0.0', '3.5', '24.4', '3.8']",0,0.0
173,14100-MEXTICACAN.txt,"['11/12/2015', '6.5', 'Nulo', 'Nulo', 'Nulo']","['11/12/2015', 'Nulo', 'Nulo', 'Nulo', 'Nulo']","['11/12/2015', '0.0', '4.1', '22.0', '5.5']",6.5,0.0
174,14101-TEOCALTICHE.txt,"['14/03/2011', '0', '5.3', '30.5', '11']","['14/03/2011', '0', '5.3', 'Nulo', '11']","['14/03/2011', '0.0', '5.3', '30.4', '11.0']",30.5,30.4
175,14101-TEOCALTICHE.txt,"['29/03/2014', '0', '6.2', '31', '9.5']","['29/03/2014', '0', '6.2', 'Nulo', '9.5']","['29/03/2014', '0.0', '6.2', '32.2', '9.5']",31,32.2
176,14101-TEOCALTICHE.txt,"['13/06/2017', '0', '6.9', '36.5', '18.5']","['13/06/2017', '0', 'Nulo', '36.5', '18.5']","['13/06/2017', '0.0', '8.0', '36.5', '18.5']",6.9,8.0
177,14104-ZAPOTLANEJO.txt,"['18/03/2010', '0', 'Nulo', '23', '3.5']","['18/03/2010', 'Nulo', 'Nulo', '23', '3.5']","['18/03/2010', '0.0', '6.6', '23.0', '3.5']",0,0.0
